"id","uid","bm_unit_id","fuel_type","lead_party_name"
64,"ea2fa691-e5d8-4dfc-bf11-90bcd49f5677","T_TWSHW-1","WIND","Twentyshilling Limited"
51,"5c257b1a-1403-41b0-bd66-5bb08769996d","T_WDNSO-1","WIND","Morecambe Wind Limited"
50,"73b4c8cf-933f-4f93-90a7-a9c30797b132","T_WDNSO-2","WIND","Morecambe Wind Limited"
49,"fc107cbe-9ada-4e64-90d6-ecbb519af543","T_WDRGW-1","WIND","Windy Rig Wind Farm Limited"
48,"a7da730f-175b-49bd-94f9-5d1a02ba68e4","T_WHIHW-1","WIND","Whiteside Hill"
47,"16f3dfca-e3e1-4d4e-b0fb-74de252c0df9","T_WHILW-1","WIND","SP Renewables (UK) Limited"
46,"8614a6d8-6e69-49e3-9d5a-d9b7e1c8f8d7","T_WHILW-2","WIND","SP Renewables (UK) Limited"
43,"0f648024-5e92-4849-816d-2b0acf8b0d6c","T_WISTW-2","WIND","BROCKLOCH RIG WINDFARM LTD"
42,"b7e72299-5d04-4cf1-bddb-895aee6ba052","T_WLNYO-2","WIND","Walney Offshore Windfarms Ltd"
41,"c818ea92-3185-49c1-8056-f7ca6dfee01c","T_WLNYO-3","WIND","Walney Extension Ltd"
40,"c72b97d9-7af6-4f0d-a228-e22f6fd3c5a6","T_WLNYO-4","WIND","Walney Extension Ltd"
39,"537ed850-db80-4676-add9-4ec67ba111f0","T_WLNYW-1","WIND","Walney Offshore Windfarms Ltd"
38,"079e4996-b2db-45b9-8a9f-67a2353f4d7e","T_WTMSO-1","WIND","Westermost Rough Limited"
